epoch,step,test/acc,test/loss,train/acc_epoch,train/acc_step,train/f1_epoch,train/loss_step,train/prob_mean,train/prob_std,val/acc,val/avg_class_acc,val/loss
9,229,,,,0.953125,,0.22375226020812988,0.25,0.3615114688873291,,,
9,234,,,,0.953125,,0.1714714914560318,0.25,0.380018949508667,,,
9,239,,,,0.9375,,0.19820952415466309,0.25,0.3703864514827728,,,
9,244,,,,0.9375,,0.19936150312423706,0.25,0.36985349655151367,,,
9,249,,,,0.90625,,0.22754430770874023,0.25,0.36960792541503906,,,
9,249,,,,,,,,,0.887499988079071,0.8849165439605713,0.2540344297885895
9,249,,,0.9424999952316284,,0.9419570565223694,,,,,,
10,254,,,,0.96875,,0.20510143041610718,0.25,0.36783677339553833,,,
10,259,,,,0.90625,,0.2038823366165161,0.25,0.373107373714447,,,
10,264,,,,0.9375,,0.2074180394411087,0.25,0.37884342670440674,,,
10,269,,,,0.953125,,0.2131967544555664,0.25,0.3721746504306793,,,
10,274,,,,0.9375,,0.21656355261802673,0.25,0.3769915997982025,,,
10,274,,,,,,,,,0.8924999833106995,0.8915623426437378,0.250359445810318
10,274,,,0.9293749928474426,,0.9282001256942749,,,,,,
11,279,,,,0.953125,,0.18349549174308777,0.25,0.37587517499923706,,,
11,284,,,,0.875,,0.21945932507514954,0.25,0.37746939063072205,,,
11,289,,,,0.96875,,0.1518375277519226,0.25,0.3840082585811615,,,
11,294,,,,0.953125,,0.1552327573299408,0.25,0.3809925317764282,,,
11,299,,,,0.953125,,0.17058950662612915,0.25,0.3872728943824768,,,
11,299,,,,,,,,,0.8924999833106995,0.8908096551895142,0.23779505491256714
11,299,,,0.9474999904632568,,0.9464964866638184,,,,,,
